Tweet,Keyword,code-switched,Hate,
"#Edo2024 is massive weldone Edo state Deputy Governor Omobayo, vote Dr Asue Ighodalo #EGoDoAm https://t.co/C1VNBCkQ9k",#Edo2024,0,Neutral,
"#Edo2024 
 
 Edo women on a parade in support of @OfficialPDPNig candidate, Dr. Asue Ighodalo and Barr. Osarodion Ogie in Edo state.
 
 When women carry your matter for head, it’s a done deal for you.
 
 Vote 🗳️ #AsueOgie2024 #AsueIghodalo2024 https://t.co/n4maLjIaWR",#Edo2024,1,Neutral,
"Video: Jubilant Crowd receives Dr Asue Ighodalo @Aighodalo and Osarodion Ogie @OsarodionOgie into Igarra town.
 
 Deputy Gov Omobayo is on ground!!!
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/x3SQS5Mshh",#Edo2024,0,Neutral,
"#Edo2024: Keke (Tricycle) and Motorcycle Operators in Edo State has endorsed Dr Asue Ighodalo @Aighodalo and Barr Osarodion Ogie as their sole Candidate for the September 21 election.
 
 Vote Asue Ighodalo ✅
  Vote PDP. ✅ https://t.co/7HQTnPCaYT",#Edo2024,0,Neutral,
"#Edo2024:Mrs Blessing Osahon and her Team Takes Market Storm to Evboesi Market in Orhionmwon LGA. 
 
 As She continues to drum support for the PDP Gubernatorial Candidate, Asue Ighodalo and Osarodion Ogie, preaching his manifestos to the traders and sensitising them on the need.... https://t.co/DQIWP6XB2c",#Edo2024,0,Neutral,
"With only Eighteen (18) days left until the Edo State gubernatorial election, SMO campaign has displayed a clear vision for the state's future, as grassroot support has become very prominent in various wards and Local Government! 
 #Edo2024 
 #OkpebholoForGovernor 
 #VoteAPC https://t.co/t1aKbDBddN",#Edo2024,0,Neutral,
"MY PLAN ON AGRICCUTURE FOR EDO STATE
 
 #thedized2024
 #RAIISEAGENDA
 #Edo2024
 #powerofthepeople
 #EdoDecides
 #derekforedo2024 https://t.co/qJWgba3iOG",#Edo2024,0,Neutral,
"Just In:
 
 Former Member EDHA Hon. Emmanuel Agbaje Dump APC for PDP
 
 Akoko Edo votes in the #Edo2024 is one way for Asue Ighodalo. https://t.co/TGujT8FDI1",#Edo2024,0,Neutral,
"We in the actual OBIDIENT movement are telling Edo people E DON DO, to bad government. #benincity #edo2024 #edostate #politics https://t.co/Xi8mZzHcTr",#Edo2024,1,Neutral,
The only way to predict the future is to look at the past. Q &amp; A on a radio program. #benincity #edo2024 #edostate #politics https://t.co/wOJfvGJDjS,#Edo2024,0,Neutral,
"Street credibility 💯 
 Asue Ighodalo is loved by Edo people.
 Edo state is PDP and PDP is Edo state. 
 #AsueIghodalo2024 
 #Edo2024 https://t.co/Slt8T4XRle",#Edo2024,0,Neutral,
Saying “Obidients for AI” is like saying “Ayelala for Christ”. Obidients are supporting LP in this guber election….Simple. #benincity #edo2024 #edostate #politics https://t.co/Gn4yt1xpB9,#Edo2024,0,Neutral,
Flyover is an essential part of modern cities. The governor saying Edo does not need flyovers is being Lazy. #benincity #edo2024 #edostate #politics https://t.co/ecb8yeRBIl,#Edo2024,0,Neutral,
"Edo Women are leading the Walk for a Prosperous Edo State for all.
 
 Forward Ever with Dr Asue Ighodalo @Aighodalo and Barr Osarodion Ogie @OsarodionOgie 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/czwoZBDLCi",#Edo2024,0,Neutral,
"Edo Women are on the Move!!!
 
 Join the Edo Women Walk for Asue Ighodalo @Aighodalo and Osarodion Ogie @OsarodionOgie 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/4Y3BazfVQU",#Edo2024,0,Neutral,
"Dear Undecided Edo Voter,
 
 You have 18 more days to make up your mind.
 
 Make up your mind to secure the future of Edo State with your vote for Asue Ighodalo @Aighodalo 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/cfy4CjpJVF",#Edo2024,0,Neutral,
"AKOKO EDO!
 
 Asue Ighodalo Don Come..!!!
 
 Come out in mass..
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/D011OO9UEr",#Edo2024,1,Neutral,
"ETSAKO WEST!
 
 Asue Ighodalo Dey Come..!!!
 
 Clear road for the Man Wey Sabi.
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/orKPbETrwI",#Edo2024,1,Neutral,
Dr. Asue Ighodalo campaign rally today will be in Etsako West and Akoko Edo. Show your support for the man who has actionable plans for our future. Be there for Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/KmpIKmnqsc,#Edo2024,0,Neutral,
"Etsako Wa Moo!!!!
 
 Get Ready to Receive Asue Ighodalo and Osarodion Ogie Today As the PDP Campaign Train Storms Etsako West and Akoko-Edo Today.
 
 #PathwayToProsperityForAll 
 #AsueIghodalo2024 
 #AsueOgie2024 
 #Edo2024 
 #VoteUmbrella 
 #VotePDP https://t.co/9hQ2IPDlbz",#Edo2024,1,Neutral,
"#Edo2024
 
 The journey to a Greater Edo State continues today as the PDP Governorship candidate Dr. Asue Ighodalo and his running mate, Barr. Osarodion Ogie takes their message of Prosperity to Akoko-Edo and Etsako-East Local Government for campaigns.
 
 #AsueOgie2024 https://t.co/eS9VjS5d7C",#Edo2024,0,Neutral,
"Asue Ighodalo is an embodiment of true leadership, a leader who possess the competence and vision to usher Edo into a state of unprecedented prosperity and development. 
 
 Asue ighodalo is the right man✅
 Na the MAN WEY SABI
 E GO DO AM
 
 #Edo2024 
 #AsueIghodalo2024 https://t.co/qEixz9ZNng",#Edo2024,1,Neutral,
"#ICYMI 
 Edolite collect your PVC and Vote in the September 21st Governorship Election.
 
 Collection is ongoing at the INEC office across the 18 LGA in the State.
 #Edo2024 https://t.co/IVG99GE7A9",#Edo2024,0,Neutral,
"Hike in Fuel Price: Lagos government extends work-from-home policy. Readmore 
 #Nigeria #Tinubu #Fuel #Lagos https://t.co/a1QjBgru4j",#Tinubu,0,Neutral,
@instablog9ja There is hunger in the land of zamuda 😂😂,hunger in the land,0,Neutral,
@instablog9ja There's hunger in the land,hunger in the land,0,Neutral,
@MFF247 There is hunger in the land 🥺😥,hunger in the land,0,Neutral,
@instablog9ja Hunger dey in the land,hunger in the land,1,Neutral,
"Today, Dr. Asue Ighodalo’s campaign rally is set for Etsako West. Be part of the movement for change and support the man with a vision. Join Dr. Asue Ighodalo’s rally! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/AW0s3SyIL3",#Edo2024,0,Neutral,
Dr. Asue Ighodalo campaign rally is taking place in Etsako West today. Let’s come together to back the candidate who understands our needs. Support Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/duZEcix599,#Edo2024,0,Neutral,
Today is the day for Dr. Asue Ighodalo campaign rally in Etsako West. Join us in supporting the man with actionable plans for our state’s progress. Show up for Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 https://t.co/jM3AzxkaEp,#Edo2024,0,Neutral,
Dr. Asue Ighodalo’s campaign will arrives in Akoko Edo this afternoon. Don’t miss the chance to support the man who has a vision for our state. Show your support for Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/0CdXg9QgoW,#Edo2024,0,Neutral,
Dr. Asue Ighodalo’s campaign train is making its way to Akoko Edo. Join us in supporting the leader with actionable plans. Let’s give a warm welcome to Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/70h0B3S7mB,#Edo2024,0,Neutral,
Dr. Asue Ighodalo campaign train is coming to Akoko Edo this afternoon. Let’s show our support for the man who has the right plans for our future. Join us for Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/5OWAbhfPef,#Edo2024,0,Neutral,
"This afternoon, Dr. Asue Ighodalo’s campaign train will Akoko Edo. Be part of the excitement and support the leader with a vision. Let’s welcome Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/NCv96LfxEC",#Edo2024,0,Neutral,
Dr. Asue Ighodalo’s campaign train is coming to Akoko Edo this afternoon. Stand with the candidate who understands our needs and has a plan for prosperity. Show your support for Dr. Asue Ighodalo! #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/GYiltO3pTP,#Edo2024,0,Neutral,
"With endorsements flooding in, Asue Ighodalo's recent engagements are reflecting his deep impact on critical issues. His message is resonating with a wide array of supporters across Edo. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/ggKObqZsFi",#Edo2024,0,Neutral,
Dr Asue Ighodalo is capturing hearts and minds throughout Edo with his articulate stance on crucial topics. His ability to connect with a broad audience is reflected in the increasing endorsements he receives. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/qpuTJrk9vs,#Edo2024,0,Neutral,
"#Edo2024
 
 Here is a passionate appeal to all Edo Voters outside Edo State.
 
 We have only 18 days days to the elections.
 
 Please decide to come home &amp; vote.
 
 We need you here on 21st of September to Vote for Asue Ighodalo &amp; Osarodion Ogie of the PDP.
 
 There is too much at stake. https://t.co/cBdVwabpJt",#Edo2024,0,Neutral,
"The enthusiasm for Asue Ighodalo's vision is evident as he garners support from various sectors, including thought leaders and local entrepreneurs. His compelling message on key issues is resonating across Edo. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/aBqtBehBRy",#Edo2024,0,Neutral,
@X_Dailly There's hunger in the land,hunger in the land,0,Neutral,
There’s hunger in the land😢😢 https://t.co/McgHu96TDf,hunger in the land,0,Neutral,
"@dammiedammie35 see, the hunger in the land pass wetin isrealite see for egypt",hunger in the land,1,Neutral,
This is sad… there is serious hunger in the land https://t.co/2v6W3jve4a,hunger in the land,0,Neutral,
"From thought leaders to everyday market women, Asue Ighodalo's voice is resonating deeply. His focus on essential issues is capturing widespread attention and support across Edo. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/T4JpGifTwi",#Edo2024,0,Neutral,
"Monday Okpebholo @m_akpakomiza
 Olumide Akpata
 @OlumideAkpata
 Asue Ighodalo
 @Aighodalo
 𝙒𝙝𝙮 𝙙𝙤 𝙮𝙤𝙪 𝙬𝙖𝙣𝙩 𝙩𝙤 𝙗𝙚𝙘𝙤𝙢𝙚 𝙩𝙝𝙚 𝙜𝙤𝙫𝙚𝙧𝙣𝙤𝙧 𝙤𝙛 𝙀𝙙𝙤 𝙎𝙩𝙖𝙩𝙚❓
 #Edo2024 https://t.co/1cYzozenqa",#Edo2024,0,Neutral,
"Asue Ighodalo's engagements are striking a chord with people from all walks of life. His strong stance on critical matters is gaining momentum throughout Edo, drawing significant endorsements. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/nlp9DQvGcI",#Edo2024,0,Neutral,
"Dr Asue Ighodalo recent engagement has inspired a diverse range of supporters, from industry leaders to local vendors. His impactful message on key issues is making waves across Edo, with growing endorsements. #PathWayToProsperity #Edo2024 #AsueOgie2024 https://t.co/5bcui9jeNH",#Edo2024,0,Neutral,
"The man for the people of Edo state!! 
 VOTE LP
 VOTE OSAIGBOVO AKPATA 
 #EdoPeopleMustToMatter 
 #Edo2024 
 #EdoWillBeOk https://t.co/m0eB7usjdf",#Edo2024,0,Neutral,
"18 Days to Vote for the Next Governor of Edo State.
 
 18 Days to Vote for the man that will transform the Agricultural sector.
 
 18 Days to Vote for Dr Asue Ighodalo @Aighodalo 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/68djyB0JI9",#Edo2024,0,Neutral,
"APC is utterly Rejected in Edo State!
 
 Edo people are wise and they know what's good for themselves.
 
 Asue Ighodalo @Aighodalo for the ball 🏀 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/1Ced9sm6g1",#Edo2024,0,Neutral,
"ALIGN MOVEMENT Welcomes everyone to Akoko-Edo for the Mega rally of Dr Asue Ighodalo @Aighodalo and Barr Osarodion Ogie @OsarodionOgie 
 
 Men Wey Sabi!
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/G0IJo217eH",#Edo2024,1,Neutral,
"AKOKO-EDO!!
 
 Asue Ighodalo Dey Come!!!
 
 Come out and receive your next Governor @Aighodalo 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/95BhKacYtC",#Edo2024,0,Neutral,
"18 Days to ALIGN with the government that will revolutionise the agric sector.
 
 18 Days to ALIGN with Dr Asue Ighodalo @Aighodalo 
 
 #Edo2024
 #EGoDoAm 
 #TheFutureisAi
 #AsueOgie2024 
 #AsueIghodalo2024 
 #EverybodyLovesAsue
 #PathwaysToProsperityForAll https://t.co/UjelU68yMO",#Edo2024,0,Neutral,
"#HumanityFirst : Let's work together to make history by electing the youngest Governor ever in Edo State! This will mark a new beginning for our great state, bringing fresh ideas and innovative leadership to the table #Edo2024 Vote AAC https://t.co/rUWFoldTrv",#Edo2024,0,Neutral,
"#Edo2024
 
 Stop Harassing Our Members In Edo, PDP Tells Tinubu, IGP
 
 https://t.co/zy0LMy743A",#Edo2024,0,Neutral,
"The man for the people of Edo state!! 
 VOTE LP
 VOTE OSAIGBOVO AKPATA 
 #EdoPeopleMustToMatter 
 #Edo2024 
 #EdoWillBeOk https://t.co/m0eB7usjdf",#EdoPeopleMustToMatter,0,Neutral,
Who talk say oga talk say. Where oga take tell u. #EndBadGovernance #EndBadGovernanceInNigeria #Tinubu https://t.co/89PiNpEz5U,#Tinubu,1,Neutral,
"This life no hard, na u no know the formula Ajeh.
 
 #Galatasaray #FuelScarcity #DangoteRefinery #BallonDor #Lookman #soyoyo #Tinubu #Iyaboojo #TheGreatestOfAllTime",#Tinubu,1,Neutral,
"As we approach d critical moment of decision-making in the #Edo2024 elections,it's crucial that we choose leaders who have a genuine interest in the prosperity of our state. Vote Asue Ighodalo vote PDP,vote man wey sabi wey go make Edo people happy Asue na D man #Asuelghodalo2024 https://t.co/jl6F1rmAec",#Edo2024,0,Neutral,
"Over the past months, we have worked together to achieve significant milestones that have improved our quality of life and strengthened the foundation of our community. My wish is for the borehole to serve the people of Oredo West Ward 6 and environs. 
 
 #EdoPeopleMustToMatter… https://t.co/u41ML6VIXg https://t.co/Y0ABDBsvAx",#EdoPeopleMustToMatter,0,Neutral,
MESSAGE FROM GOVERNOR GODWIN OBASEKI TO EDOLITE 😂 @p_oruche @PeterObiUSA @NgLabour @PeterObi @OlumideAkpata @ehimaggie @JOBIdient @Atentemente @asaskads @AdenikeAwe1 #LaborDay #PeterObi #TheGOAT #EndBadGovernaceProtest #EdoDecides2024 #Edo2024 #government https://t.co/AgNWs3IFz2,#EdoDecides2024,0,Neutral,
"#Edolite
 #Edolites
 #EdoXCommunity
 __________________________________
 Benin Edo • #Edodecides2024 Dangote Refinery • NNPC Tiwa • Nigeria • Brain Jotter • #Fuel Nurses • Arojinle • Galatasaray https://t.co/NdaCOOUfDk",#EdoDecides2024,0,Neutral,
"As we count down to #EdoDecides2024 
 
 Let's not forget!! 
 
 You are thumb printing on -----&gt; PDP @OfficialPDPNig
 
 THATS A VOTE FOR @Aighodalo 
 
 PATHWAY TO PROSPERITY FOR ALL. https://t.co/sTQHwErnjz",#EdoDecides2024,0,Neutral,
"#CYBERREGISTRY #PEOPLE
 For CYBER-STRATEGIC-DEFENCE: “DARK WEB” - CLICK: https://t.co/Lx8wGJLF78
 
 #RenaNielsen #BerkleyBear #SuellaBraverman #ChristineE #DeannaPlacenia #Tinubu #TheTinubuDoctrine #NWOWars #AlexJonesGame #KingCrusader #TheEmperor #SupremeBeing #TheBeginning_TheEnd https://t.co/xFSrrN57ID",#Tinubu,0,Neutral,
"#CYBERREGISTRY #PEOPLE
 For CYBER-STRATEGIC-DEFENCE: “DARK WEB” - CLICK: https://t.co/Lx8wGJLF78
 
 #RenaNielsen #BerkleyBear #SuellaBraverman #ChristineE #DeannaPlacenia #Tinubu #TheTinubuDoctrine #NWOWars #AlexJonesGame #KingCrusader #TheEmperor #SupremeBeing #TheBeginning_TheEnd https://t.co/6O1V034l1a",#Tinubu,0,Neutral,
"#CYBERREGISTRY #PEOPLE
 For CYBER-STRATEGIC-DEFENCE: “DARK WEB” - CLICK: https://t.co/Lx8wGJLF78
 
 #RenaNielsen #BerkleyBear #SuellaBraverman #ChristineE #DeannaPlacenia #Tinubu #TheTinubuDoctrine #NWOWars #AlexJonesGame #KingCrusader #TheEmperor #SupremeBeing #TheBeginning_TheEnd https://t.co/73u1Vln2Mn",#Tinubu,0,Neutral,
"#CYBERREGISTRY #PEOPLE
 For CYBER-STRATEGIC-DEFENCE: “DARK WEB” - CLICK: https://t.co/Lx8wGJL7hA
 
 #RenaNielsen #BerkleyBear #SuellaBraverman #ChristineE #DeannaPlacenia #Tinubu #TheTinubuDoctrine #NWOWars #AlexJonesGame #KingCrusader #TheEmperor #SupremeBeing #TheBeginning_TheEnd https://t.co/zD8rznmY8w",#Tinubu,0,Neutral,
"#CYBERREGISTRY #PEOPLE
 For CYBER-STRATEGIC-DEFENCE: “DARK WEB” - CLICK: https://t.co/Lx8wGJLF78
 
 #RenaNielsen #BerkleyBear #SuellaBraverman #ChristineE #DeannaPlacenia #Tinubu #TheTinubuDoctrine #NWOWars #AlexJonesGame #KingCrusader #TheEmperor #SupremeBeing #TheBeginning_TheEnd https://t.co/T7WQ5mcOyb",#Tinubu,0,Neutral,
"@KraksTV 😭😭
 
 You can see that he didn't mean to steal 
 There's really hunger in the land o",hunger in the land,0,Neutral,
@dammiedammie35 There is hunger in the land 💔,hunger in the land,0,Neutral,
"@nuumooshatta Dating should change level this time, there is hunger in the land.",hunger in the land,0,Neutral,
"@sir_shinaaa Yeah, we can’t deny the hunger in the land, but Shey na hunger no make them unalive the snake first before roasting?",hunger in the land,0,Neutral,
@Postsubman There's hunger in the land.,hunger in the land,0,Neutral,
"#CivicShiftCampaign
 #YouthVoteMatters
 #OndoDecides2024
 #HTCIF
 @HumAngleFdn @HumAngle_ https://t.co/zkRoO5H0Ml",#OndoDecides2024,0,Neutral,
"💻 Visit our new microsite to volunteer, register to vote, &amp; make sure your voice is heard this November. #YouthVoteMatters",#YouthVoteMatters,0,Neutral,
